iter,ws,wstd
3,2484.143653145111,37.2103710612368
109,2470.21567099692,30.421250800700705
120,2426.8194711153087,31.06705897305151
121,2431.521221323845,18.751500242550073
122,2417.97523139458,17.861412968306595
123,2410.459043159147,37.65695993806434
124,2403.1824305919217,38.713231801023326
125,2407.788600162769,31.76011514658202
128,2413.663930011703,26.695673104383637
140,2286.414361291712,29.505984839598693
160,2292.2742486186044,33.81570818391013
161,2262.818870767572,24.516957483432694
165,2280.370700840497,40.73419001884562
166,2278.816619944462,32.04296729134536
170,2268.5989624924446,32.108206850295524
173,2259.546462693727,24.979358283125883
180,2231.330506344736,24.942873425579734
185,2219.994930080519,38.565658645283506
188,2213.6422673776165,23.2551681990931
194,2201.962540501676,18.391455914222206
200,2115.8983479974777,27.60331772716733
205,2115.166462968381,42.94993735740082
220,1991.27910030455,30.830238211388398
221,1981.1813522103535,44.163038508361005
222,1966.058045773373,37.08025036072305
240,1839.3824411702324,24.35365737044886
242,1840.2755222092558,39.45327443184582
246,1816.888753758083,31.919400418016583
260,1778.1802026328703,26.861723837982584
262,1767.3368215961677,26.64465260764861
267,1733.5604519738706,29.47348651769456
300,1689.2026081633394,33.68562336008177
320,1691.2545959443255,29.859741758507234
321,1657.4143214891665,29.602586641456053
363,1631.551230484921,29.749449157032323
400,1609.5048033984176,31.360569371255423
410,1616.947123971792,24.72196140729993
420,1603.1472762426592,34.974633279866055
421,1589.5699720506252,21.624966583742438
431,1583.1195305677643,23.17416670574631
441,1591.1943844156444,26.05994820091505
442,1558.159637092423,25.49793887543139
467,1546.7541429503506,29.79285729492686
500,1577.7727515498286,27.6539576521485
520,1509.2833323170476,36.464284723635046
640,1474.5561892850606,21.34637461802585
660,1461.145816358866,21.653018220190408
670,1453.1465774086969,43.25972829356145
705,1411.405894789332,34.56934065557604
763,1406.505120959999,19.270177287974274
790,1393.1398404736265,34.71652320139316
863,1379.8299325797454,31.97260571337735
881,1354.4005109624284,29.802520028784006
1000,1360.1157400337192,29.167654828203133
1020,1336.9666529635824,30.200231106132946
1026,1291.5902944112236,24.953172968691522
1121,1283.1416666825462,19.410735313751136
1122,1259.1654478100465,26.222356876025437
1200,1250.9393257184827,33.1686037212466
1202,1232.1102086988064,22.350835521390895
1500,1297.4680393582146,21.88331179016367
2000,1236.5088912809563,23.972291762983637
2003,1223.2045131926013,30.741701012685805
2008,1221.6533661790368,25.75403400081534
2041,1205.2697770792915,35.3801723900839
2054,1193.5911331267428,21.307474015604946
2103,1179.2187745911501,19.296281166916405
2104,1167.8072298112843,29.30671459501652
2321,1157.660898269321,20.78863692184553
2500,1290.6627961643194,36.826913320597605
3000,1184.3866287760388,22.781051370774684
3500,1305.4604009601576,35.502323113124966
4000,1250.7384091724032,12.71904110840062
4500,1178.651535180405,15.728158065849799
4698,1118.0888756921856,26.546271881364184
5000,1248.9654000384269,19.61215414654418
5500,1146.9109260309688,19.943672687581504
5623,1093.1572341056344,20.681902138417602
5686,1073.7479610244322,18.699153448032156
5820,1046.4812090764694,20.700105095352345
6000,1054.063806281319,14.762040072776388
6008,1008.2636485775613,12.815153697491823
6500,1144.5298823437938,18.021194093990573
7000,1095.5066952181871,23.432281293014416
7500,1211.4602144932576,15.556365570027182
