iter,hp,attack,defense,spattack,spdefense,speed,weight(kg),height(cm),type1,type2,ability1,ability2,abilityH,class,percent-female,pre-evolution,egg-group1,egg-group2
1,113.39086889648439,61.748388900756844,94.98430418395996,69.14260339355468,100.66826617431641,64.40260676574707,659.9678221292095,952.4955307128905,41.870000000000005,45.140000000000015,465.90999999999997,372.5400000000001,410.59,1609.3599999999997,12.330000000000002,963.4399999999999,35.41,21.939999999999998
2,113.36350514221192,61.74332279968262,94.95601812744141,69.11110864257812,100.63560449218751,64.4134772644043,659.8990563211038,952.490399609375,41.870000000000005,45.140000000000015,465.88,371.38000000000005,410.59,1607.7800000000002,12.330000000000002,961.6399999999999,35.41,21.939999999999998
3,113.34570797729492,61.731978546142585,94.93376202392578,69.09284294128418,100.59561212158204,64.41836854553222,659.7982074441508,952.494906201172,41.870000000000005,45.140000000000015,465.56999999999994,370.38000000000005,410.59,1605.44,12.330000000000002,959.7800000000001,35.41,21.939999999999998
4,113.31567930603029,61.721896255493164,94.91256246948242,69.0640422821045,100.56718032836915,64.42837780761718,659.7210626077249,952.502944165039,41.870000000000005,45.140000000000015,464.79999999999995,369.04,410.59,1603.44,12.330000000000002,958.5000000000001,35.41,21.939999999999998
5,113.30310253906251,61.71149896240235,94.89635961914064,69.03758027648927,100.54697482299805,64.44820988464356,659.6897576760844,952.5475908935548,41.870000000000005,45.140000000000015,463.66999999999996,367.79,410.55999999999995,1602.01,12.330000000000002,957.24,35.41,21.939999999999998
6,113.26612501525881,61.711898742675785,94.8764829864502,69.01084692382813,100.50644267272949,64.46280360412598,659.5973064431741,952.5543720214844,41.870000000000005,45.140000000000015,462.44,366.85,410.21000000000004,1600.27,12.330000000000002,955.8400000000001,35.41,21.939999999999998
7,113.24448748779298,61.69856176757813,94.86841592407227,68.98199017333984,100.48097305297853,64.4730971069336,659.6144085549906,952.5934987304687,41.870000000000005,45.140000000000015,461.22,366.48,408.9,1597.6299999999997,12.330000000000002,954.2900000000002,35.41,21.939999999999998
8,113.23055737304688,61.693133621215814,94.84130842590332,68.97517936706542,100.44230773925781,64.48728767395019,659.541314988096,952.5155156982422,41.870000000000005,45.140000000000015,460.03,366.96000000000004,406.38000000000005,1596.05,12.330000000000002,952.7,35.41,21.939999999999998
9,113.19637626647949,61.67581639099122,94.81893927001954,68.94838236999512,100.41519746398927,64.49965434265135,659.5470010232523,952.6012614257813,41.870000000000005,45.140000000000015,458.84999999999997,367.09000000000003,403.2,1595.21,12.330000000000002,950.79,35.41,21.939999999999998
10,113.16536488342287,61.67501290893555,94.78501315307618,68.9216922454834,100.37654080200197,64.51138911437988,659.497128220518,952.6152055175781,41.870000000000005,45.140000000000015,458.02,367.14,401.93000000000006,1593.2399999999998,12.330000000000002,949.91,35.41,21.939999999999998
11,113.14803883361817,61.66626705932618,94.76194079589844,68.92036741638184,100.34261505126953,64.53189404296876,659.4259269876078,952.5627183349609,41.870000000000005,45.140000000000015,457.47999999999996,367.1000000000001,402.5,1590.5299999999997,12.330000000000002,948.6400000000001,35.41,21.939999999999998
12,113.12576242065431,61.65935559082032,94.74020304870606,68.8892975769043,100.31128565979004,64.53700131225585,659.4438187722758,952.5581189697266,41.870000000000005,45.140000000000015,457.7799999999999,366.97,402.57000000000005,1588.89,12.330000000000002,947.1899999999999,35.41,21.939999999999998
13,113.08969525146485,61.650342437744136,94.7160789642334,68.86612023925781,100.28073178100587,64.55162313842774,659.4117953347758,952.5918241699219,41.870000000000005,45.140000000000015,457.74,366.58000000000004,402.57000000000005,1588.0399999999997,12.330000000000002,945.36,35.41,21.939999999999998
14,113.06045986938477,61.63896148681641,94.69839015197755,68.83609759521485,100.24149995422364,64.56168959045411,659.365943833311,952.5851422851563,41.870000000000005,45.140000000000015,457.50000000000006,366.0800000000001,402.57000000000005,1585.96,12.330000000000002,943.1899999999998,35.41,21.939999999999998
