iter,ws,wstd
3,6068.5992767548105,31.012421399854308
101,3845.801553159593,27.499595834840243
160,3761.345481894727,29.61779844983687
260,3681.277190327705,44.53447503270942
284,3589.782298575233,32.30531207517906
380,3510.8668422013097,23.47429559679224
440,3416.6701889917326,40.75403187359831
500,3358.239667243068,22.34320294434126
580,3296.5605701735744,47.789393465182485
620,3209.643158431872,37.33231660558136
700,3100.5722233650044,31.560350720093016
822,3050.45889794738,37.093907483316244
860,3000.9928419701564,35.72105156694322
920,2922.6888514514285,23.936803033972478
992,2875.360734059669,37.02041544890217
1000,2814.121763555827,39.19027190433183
1040,2718.866154111436,19.528667976331526
1140,2633.3501814492806,30.56320319547056
1200,2552.7773872377174,33.42823836245857
1300,2466.660773723398,40.44552234855199
1500,2425.228166002241,27.57280412867503
1600,2352.895517759125,31.702157908280192
1860,2287.3084979317523,20.267936490009998
2000,2222.832014582119,40.9725465831695
2362,2170.8291802273516,23.50194232423951
2500,2131.361981975555,22.066221664553932
3000,2097.9374397489064,31.150951270954312
3500,2082.7247775455025,33.97301477996431
4000,2021.093355274527,23.163425300789818
4500,2121.716233684693,39.7827693897825
5000,2078.1402751609303,40.13845177190358
5500,2072.831139154514,21.35646682573326
6000,2051.3240372376313,51.08158211878618
6500,2017.9774855053467,37.830006798089194
7000,1983.1806041826985,39.34369309138258
7500,1996.1441192105835,34.74418040122474
8000,1991.913293234256,22.025352632340393
8500,1941.101848483242,38.52973875074809
9000,1923.156464410396,46.624464260857806
9500,1877.1709726166332,34.66206330736962
10000,1888.3674676963062,31.719441525776915
10500,1837.7408950733447,20.049164966924376
11000,1893.762315119376,34.48595921932721
11500,1860.625799074976,27.610938828085658
12000,1834.755290214,33.44442402156261
12500,1848.1633100436204,23.16762917175888
13000,1787.3937744901607,36.79359700637776
13500,1749.548020624799,31.7929984272393
